"TIME","GEO","CITIZEN","AGE","SEX","Value","Flag and Footnotes"
"2000","Armenia","Total","From 15 to 19 years","Females",":",""
"2000","Azerbaijan","Total","From 10 to 14 years","Females",":",""
"2000","Azerbaijan","Total","From 15 to 19 years","Females",":",""
"2000","Israel","Total","From 10 to 14 years","Females",":",""
"2000","Israel","Total","From 15 to 19 years","Females",":",""
"2001","European Union (27 countries)","Total","From 10 to 14 years","Females",":",""
"2001","European Union (27 countries)","Total","From 15 to 19 years","Females",":",""
"2001","Belgium","Total","From 10 to 14 years","Females","300,902",""
"2001","Belgium","Total","From 15 to 19 years","Females","297,082",""
"2001","Bulgaria","Total","From 10 to 14 years","Females",":",""
"2001","Bulgaria","Total","From 15 to 19 years","Females",":",""
"2001","Czech Republic","Total","From 10 to 14 years","Females","316,155",""
"2001","Czech Republic","Total","From 15 to 19 years","Females","335,542",""
"2001","Denmark","Total","From 10 to 14 years","Females","150,214",""
"2001","Denmark","Total","From 15 to 19 years","Females","136,759",""
"2001","Germany (until 1990 former territory of the FRG)","Total","From 10 to 14 years","Females",":",""
"2001","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Females",":",""
"2001","Estonia","Total","From 10 to 14 years","Females",":",""
"2001","Estonia","Total","From 15 to 19 years","Females",":",""
"2001","Ireland","Total","From 10 to 14 years","Females",":",""
"2001","Ireland","Total","From 15 to 19 years","Females",":",""
"2001","Greece","Total","From 10 to 14 years","Females",":",""
"2001","Greece","Total","From 15 to 19 years","Females",":",""
"2001","Spain","Total","From 10 to 14 years","Females","1,037,382",""
"2001","Spain","Total","From 15 to 19 years","Females","1,249,682",""
"2001","France","Total","From 10 to 14 years","Females",":",""
"2001","France","Total","From 15 to 19 years","Females",":",""
"2001","Croatia","Total","From 10 to 14 years","Females",":",""
"2001","Croatia","Total","From 15 to 19 years","Females",":",""
"2001","Italy","Total","From 10 to 14 years","Females","1,355,224",""
"2001","Italy","Total","From 15 to 19 years","Females","1,471,651",""
"2001","Cyprus","Total","From 10 to 14 years","Females",":",""
"2001","Cyprus","Total","From 15 to 19 years","Females",":",""
"2001","Latvia","Total","From 10 to 14 years","Females",":",""
"2001","Latvia","Total","From 15 to 19 years","Females",":",""
"2001","Lithuania","Total","From 10 to 14 years","Females","133,316",""
"2001","Lithuania","Total","From 15 to 19 years","Females","130,463",""
"2001","Luxembourg","Total","From 10 to 14 years","Females","12,989",""
"2001","Luxembourg","Total","From 15 to 19 years","Females","12,041",""
"2001","Hungary","Total","From 10 to 14 years","Females",":",""
"2001","Hungary","Total","From 15 to 19 years","Females",":",""
"2001","Malta","Total","From 10 to 14 years","Females","13,612","b"
"2001","Malta","Total","From 15 to 19 years","Females","14,022","b"
"2001","Netherlands","Total","From 10 to 14 years","Females","479,323",""
"2001","Netherlands","Total","From 15 to 19 years","Females","453,929",""
"2001","Austria","Total","From 10 to 14 years","Females","230,932",""
"2001","Austria","Total","From 15 to 19 years","Females","236,505",""
"2001","Poland","Total","From 10 to 14 years","Females",":",""
"2001","Poland","Total","From 15 to 19 years","Females",":",""
"2001","Portugal","Total","From 10 to 14 years","Females",":",""
"2001","Portugal","Total","From 15 to 19 years","Females",":",""
"2001","Romania","Total","From 10 to 14 years","Females",":",""
"2001","Romania","Total","From 15 to 19 years","Females",":",""
"2001","Slovenia","Total","From 10 to 14 years","Females","59,284",""
"2001","Slovenia","Total","From 15 to 19 years","Females","66,710",""
"2001","Slovakia","Total","From 10 to 14 years","Females",":",""
"2001","Slovakia","Total","From 15 to 19 years","Females",":",""
"2001","Finland","Total","From 10 to 14 years","Females","155,687",""
"2001","Finland","Total","From 15 to 19 years","Females","162,161",""
"2001","Sweden","Total","From 10 to 14 years","Females","285,731",""
"2001","Sweden","Total","From 15 to 19 years","Females","247,144",""
"2001","United Kingdom","Total","From 10 to 14 years","Females","1,887,371",""
"2001","United Kingdom","Total","From 15 to 19 years","Females","1,790,840",""
"2001","Iceland","Total","From 10 to 14 years","Females","10,621",""
"2001","Iceland","Total","From 15 to 19 years","Females","10,463",""
"2001","Liechtenstein","Total","From 10 to 14 years","Females",":",""
"2001","Liechtenstein","Total","From 15 to 19 years","Females",":",""
"2001","Norway","Total","From 10 to 14 years","Females","142,961",""
"2001","Norway","Total","From 15 to 19 years","Females","129,683",""
"2001","Switzerland","Total","From 10 to 14 years","Females","207,446",""
"2001","Switzerland","Total","From 15 to 19 years","Females","202,513",""
"2001","Montenegro","Total","From 10 to 14 years","Females",":",""
"2001","Montenegro","Total","From 15 to 19 years","Females",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Total","From 10 to 14 years","Females",":",""
"2001","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 19 years","Females",":",""
"2001","Albania","Total","From 10 to 14 years","Females",":",""
"2001","Albania","Total","From 15 to 19 years","Females",":",""
"2001","Turkey","Total","From 10 to 14 years","Females",":",""
"2001","Turkey","Total","From 15 to 19 years","Females",":",""
"2001","Andorra","Total","From 10 to 14 years","Females",":",""
"2001","Andorra","Total","From 15 to 19 years","Females",":",""
"2001","Moldova","Total","From 10 to 14 years","Females",":",""
"2001","Moldova","Total","From 15 to 19 years","Females",":",""
"2001","Ukraine","Total","From 10 to 14 years","Females",":",""
"2001","Ukraine","Total","From 15 to 19 years","Females",":",""
"2001","Tajikistan","Total","From 10 to 14 years","Females",":",""
"2001","Tajikistan","Total","From 15 to 19 years","Females",":",""
"2001","Uzbekistan","Total","From 10 to 14 years","Females",":",""
"2001","Uzbekistan","Total","From 15 to 19 years","Females",":",""
"2001","Armenia","Total","From 10 to 14 years","Females",":",""
"2001","Armenia","Total","From 15 to 19 years","Females",":",""
"2001","Azerbaijan","Total","From 10 to 14 years","Females",":",""
"2001","Azerbaijan","Total","From 15 to 19 years","Females",":",""
"2001","Israel","Total","From 10 to 14 years","Females",":",""
